fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
10.0,0.49,0.2,11.0,0.071,,50.0,1.0015,3.16,0.69,9.2,324.0,6
10.0,0.49,0.2,11.0,,13.0,50.0,1.0015,3.16,0.69,9.2,325.0,6
11.6,0.53,0.66,3.65,0.121,,14.0,,3.05,0.74,11.5,326.0,7
10.3,0.44,0.5,4.5,0.107,,13.0,0.998,3.28,0.83,11.5,327.0,5
13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,0.67,9.7,328.0,6
8.4,0.56,,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,333.0,5
7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,334.0,7
11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,335.0,7
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,336.0,6
7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,337.0,5
12.5,0.28,0.54,2.3,0.0819999999999999,12.0,29.0,0.9997,3.11,1.36,9.8,339.0,7
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,342.0,6
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,343.0,6
11.9,0.57,0.5,2.6,0.0819999999999999,6.0,,1.0006,3.12,0.78,10.7,344.0,6
13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,347.0,6
9.6,,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,348.0,6
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,351.0,6
7.7,0.665,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,0.73,9.3,,5
13.5,0.53,0.79,4.8,0.12,23.0,77.0,1.0018,3.18,0.77,13.0,353.0,5
6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,354.0,6
6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,,6
11.5,0.41,0.52,3.0,0.08,29.0,55.0,1.0001,3.26,0.88,11.0,356.0,5
10.5,0.42,0.66,2.95,0.1159999999999999,12.0,,0.997,3.24,0.75,11.7,357.0,7
11.9,0.43,0.66,3.1,0.109,10.0,23.0,1.0,3.15,0.85,10.4,358.0,7
12.6,0.38,0.66,2.6,0.088,10.0,41.0,,3.17,,9.8,,6
8.2,0.7,0.23,2.0,0.099,14.0,81.0,0.9973,3.19,0.7,9.4,360.0,5
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,361.0,6
11.9,0.58,,2.5,0.072,6.0,37.0,0.9992,3.05,0.56,10.0,362.0,5
12.5,0.46,0.63,2.0,0.071,6.0,15.0,,2.99,0.87,,363.0,5
12.8,,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,364.0,7
12.8,0.615,0.66,5.8,0.083,7.0,,1.0022,3.07,0.73,10.0,366.0,7
10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,367.0,5
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,369.0,7
7.9,0.24,0.4,1.6,0.0559999999999999,11.0,25.0,0.9967,3.32,0.87,8.7,371.0,6
,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,372.0,6
11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,376.0,6
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,377.0,7
11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,378.0,6
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,,0.8,9.4,,6
7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,384.0,5
7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,388.0,6
5.6,,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,390.0,8
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,,0.8,10.0,391.0,6
9.5,0.37,0.52,2.0,0.0819999999999999,6.0,,0.998,3.18,0.51,9.5,392.0,5
12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,395.0,7
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,396.0,5
11.5,0.59,0.59,2.6,,13.0,49.0,0.9988,3.18,0.65,11.0,397.0,6
8.7,,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,,5
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,400.0,5
12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,402.0,6
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,403.0,6
7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,,9.1,404.0,5
9.8,,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,406.0,6
12.0,0.39,0.66,3.0,0.093,,30.0,0.9996,3.18,0.63,10.8,407.0,7
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,409.0,4
9.0,0.43,0.34,,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,410.0,6
7.1,,0.16,1.9,0.1,,77.0,0.9966,3.27,0.64,9.3,412.0,5
9.9,0.4,0.53,6.7,0.0969999999999999,,19.0,0.9986,3.27,0.82,11.7,413.0,7
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,414.0,5
8.6,0.725,0.24,6.6,0.1169999999999999,31.0,134.0,1.0014,3.32,1.07,9.3,,5
,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,416.0,6
7.0,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,417.0,5
11.9,0.38,0.51,2.0,0.121,7.0,20.0,,3.24,0.76,10.4,418.0,6
6.8,0.77,0.0,1.8,0.066,,52.0,0.9976,,0.68,9.9,419.0,5
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,,7
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,422.0,5
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,423.0,7
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,,425.0,7
6.4,,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,426.0,6
9.5,,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,427.0,6
9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,428.0,5
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,429.0,6
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,430.0,7
7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,431.0,5
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,,9.5,433.0,5
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,434.0,6
12.3,0.39,0.63,2.3,0.091,6.0,,1.0004,3.16,,9.5,435.0,5
8.0,0.67,0.3,2.0,0.06,38.0,62.0,,3.26,0.56,10.2,436.0,6
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,437.0,6
7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,,5
12.6,0.31,0.72,2.2,,6.0,29.0,0.9987,2.88,0.82,9.8,440.0,8
15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,442.0,7
5.3,0.57,0.01,1.7,0.054,5.0,27.0,0.9934,3.57,0.84,12.5,444.0,7
12.5,0.38,0.6,2.6,0.081,31.0,72.0,0.9996,3.1,0.73,10.5,446.0,5
,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,447.0,5
8.6,0.53,0.22,2.0,0.1,7.0,27.0,,3.2,0.56,10.2,448.0,6
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,449.0,6
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,450.0,6
6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,,452.0,6
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,453.0,7
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,454.0,5
11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,455.0,8
8.9,0.59,0.39,,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,456.0,5
,0.63,0.21,2.7,0.0969999999999999,29.0,65.0,0.9988,,0.58,9.6,457.0,5
11.6,0.58,0.66,2.2,0.074,,47.0,1.0008,3.25,0.57,9.0,459.0,3
9.2,0.43,0.52,2.3,,14.0,23.0,,3.35,0.61,11.3,460.0,6
8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3,461.0,5
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,464.0,6
10.3,0.5,,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,466.0,6
8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,467.0,6
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,468.0,6
8.7,0.82,0.02,1.2,,36.0,48.0,0.9952,3.2,0.58,9.8,469.0,5
13.0,0.32,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,470.0,5
9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,471.0,6
12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,472.0,6
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,475.0,5
9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,476.0,5
10.4,0.24,0.49,,0.075,6.0,,0.9977,3.18,1.06,11.0,477.0,6
9.4,,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,479.0,6
10.6,0.28,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,480.0,5
9.4,0.3,,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,481.0,8
10.6,0.36,0.6,2.2,0.152,7.0,18.0,0.9986,3.04,1.06,9.4,483.0,5
10.2,0.67,0.39,1.9,0.054,6.0,17.0,,3.17,0.47,10.0,485.0,5
10.2,0.645,,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,,6
9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,489.0,6
9.2,0.41,0.5,2.5,0.055,12.0,,0.9952,3.34,0.79,13.3,491.0,7
8.9,,0.51,2.6,0.052,13.0,27.0,,3.32,0.9,13.4,492.0,7
8.7,0.69,0.31,3.0,0.086,,81.0,1.0002,3.48,0.74,11.6,493.0,6
6.5,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,494.0,6
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,495.0,8
7.8,,0.25,1.9,0.081,14.0,38.0,0.9984,,0.65,9.0,496.0,6
7.2,0.34,0.32,2.5,0.09,43.0,,0.9966,3.32,0.79,11.1,497.0,5
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,498.0,8
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,499.0,6
7.8,0.52,,1.9,,14.0,38.0,0.9984,3.43,0.65,9.0,500.0,6
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,501.0,7
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,502.0,7
10.5,0.24,0.42,1.8,0.077,6.0,22.0,0.9976,3.21,1.05,10.8,504.0,7
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,505.0,7
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,506.0,7
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,507.0,6
13.3,0.29,0.75,2.8,0.084,23.0,43.0,0.9986,3.04,0.68,11.4,509.0,7
10.0,0.59,0.31,2.2,0.09,,62.0,0.9994,3.18,0.63,10.2,,6
10.7,0.4,0.48,,0.125,15.0,49.0,,3.03,0.81,9.7,512.0,6
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,513.0,7
10.5,,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,,514.0,7
8.5,0.655,0.49,,0.122,34.0,151.0,1.001,3.31,1.14,9.3,515.0,5
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,516.0,6
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,,0.63,8.4,517.0,3
9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,3.42,0.9,10.0,520.0,6
9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,523.0,5
9.2,,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,524.0,5
7.0,0.38,0.49,2.5,0.0969999999999999,33.0,85.0,,3.39,0.77,11.4,,6
9.9,0.63,0.24,2.4,0.077,6.0,,0.9974,3.09,0.57,9.4,529.0,5
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,,10.3,530.0,6
11.9,0.38,0.49,,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,531.0,5
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,,10.3,532.0,5
10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,533.0,6
10.0,0.48,,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,534.0,6
9.1,0.22,0.24,2.1,0.078,,28.0,0.999,3.41,0.87,10.3,535.0,6
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,536.0,5
8.1,0.825,0.24,2.1,0.084,,13.0,0.9972,,0.77,10.7,537.0,6
12.9,0.35,0.49,5.8,0.066,5.0,35.0,1.0014,3.2,0.66,12.0,,7
11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,539.0,5
,0.59,0.24,,0.1009999999999999,20.0,47.0,0.9988,3.26,0.67,9.6,540.0,5
9.5,0.46,0.49,6.3,0.064,5.0,17.0,0.9988,3.21,0.73,11.0,541.0,6
9.3,0.715,,2.1,0.07,5.0,20.0,0.9966,3.12,0.59,9.9,542.0,5
11.2,0.66,0.24,2.5,0.085,16.0,53.0,,3.06,0.72,11.0,543.0,6
14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,544.0,6
9.1,0.47,0.49,2.6,0.094,38.0,106.0,0.9982,3.08,,9.1,545.0,5
7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,,0.78,9.5,546.0,6
10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7,547.0,6
12.4,0.35,0.49,2.6,0.079,27.0,69.0,0.9994,3.12,0.75,10.4,548.0,6
6.8,0.51,0.01,2.1,0.074,9.0,25.0,0.9958,3.33,0.56,9.5,550.0,6
9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,551.0,6
9.5,0.46,0.24,2.7,0.092,14.0,44.0,0.998,3.12,0.74,10.0,552.0,6
5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,3.74,,11.5,553.0,5
15.5,0.645,0.49,4.2,,10.0,23.0,1.00315,2.92,0.74,11.1,554.0,5
10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,556.0,6
15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,557.0,5
13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,559.0,6
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,560.0,5
9.0,,0.49,2.9,,41.0,110.0,0.9982,3.08,0.61,9.2,562.0,5
7.6,0.29,0.49,2.7,0.092,25.0,60.0,0.9971,3.31,0.61,,563.0,6
13.0,0.47,0.49,4.3,0.085,,47.0,1.0021,3.3,0.68,12.7,564.0,6
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,565.0,5
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,567.0,6
9.8,0.5,0.49,2.6,0.25,5.0,20.0,0.999,3.31,0.79,10.7,568.0,6
6.2,0.36,0.24,2.2,0.095,19.0,42.0,0.9946,3.57,0.57,11.7,569.0,6
11.5,0.35,0.49,3.3,0.07,10.0,37.0,1.0003,3.32,0.91,11.0,570.0,6
10.2,0.24,0.49,2.4,0.075,10.0,28.0,,,0.61,10.4,572.0,5
9.9,0.5,0.24,2.3,0.103,6.0,14.0,0.9978,3.34,0.52,10.0,576.0,4
8.8,0.44,0.49,2.8,0.083,18.0,111.0,0.9982,3.3,0.6,9.5,577.0,5
,0.47,0.49,,0.085,17.0,110.0,0.9982,3.29,0.6,9.8,578.0,5
10.6,0.31,0.49,2.2,0.063,18.0,40.0,0.9976,3.14,0.51,,,6
12.3,0.5,0.49,2.2,0.089,5.0,14.0,1.0002,3.19,0.44,9.6,580.0,5
12.3,,0.49,2.2,0.089,5.0,14.0,1.0002,3.19,0.44,9.6,581.0,5
,0.28,0.49,1.9,0.074,,21.0,0.9976,2.98,0.66,9.9,583.0,7
7.3,0.73,0.24,1.9,0.108,18.0,102.0,0.9967,3.26,0.59,,587.0,5
,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,588.0,8
,0.45,0.49,,0.084,21.0,75.0,,,0.57,9.7,590.0,5
6.6,0.39,,1.7,0.07,23.0,149.0,,3.12,0.5,11.5,591.0,6
9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,,0.57,9.7,592.0,5
9.9,0.49,0.58,3.5,0.094,9.0,43.0,1.0004,3.29,0.58,9.0,593.0,5
8.9,0.595,0.41,7.9,0.086,30.0,109.0,0.9998,3.27,0.57,9.3,595.0,5
12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6,9.3,596.0,6
8.5,0.585,0.18,2.1,0.078,5.0,30.0,0.9967,,0.48,9.8,598.0,6
7.7,0.835,0.0,2.6,0.081,6.0,14.0,0.9975,3.3,0.52,9.3,602.0,5
8.3,0.58,0.13,2.9,0.096,14.0,63.0,0.9984,,0.62,9.1,604.0,6
8.8,0.48,0.41,3.3,0.092,26.0,52.0,0.9982,3.31,0.53,10.5,607.0,6
10.1,,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,608.0,6
6.3,0.36,0.19,3.2,0.075,15.0,39.0,0.9956,3.56,0.52,12.7,609.0,6
8.8,0.24,0.54,2.5,0.083,25.0,57.0,0.9983,3.39,0.54,9.2,610.0,5
13.2,0.38,0.55,2.7,0.081,5.0,16.0,1.0006,2.98,0.54,9.4,611.0,5
7.5,0.64,0.0,2.4,0.077,18.0,29.0,0.9965,3.32,0.6,10.0,612.0,6
9.6,0.6,,2.3,0.079,28.0,71.0,0.9997,3.5,0.57,9.7,616.0,5
11.5,,0.51,2.2,,14.0,28.0,0.9982,3.03,0.93,9.8,617.0,6
11.3,0.37,0.41,2.3,0.088,6.0,16.0,0.9988,,0.8,9.3,619.0,5
8.3,0.54,0.24,3.4,0.076,16.0,112.0,0.9976,3.27,0.61,9.4,620.0,5
8.2,,0.23,3.4,0.078,14.0,104.0,0.9976,3.28,0.62,9.4,621.0,5
10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,622.0,5
6.8,0.69,0.0,,0.124,21.0,58.0,0.9997,3.46,0.72,10.2,625.0,5
8.8,0.6,0.29,2.2,0.098,5.0,15.0,0.9988,3.36,0.49,9.1,626.0,5
8.8,0.6,0.29,2.2,0.098,5.0,15.0,0.9988,3.36,0.49,9.1,,5
8.7,0.54,0.26,2.5,0.0969999999999999,7.0,31.0,0.9976,3.27,0.6,9.3,628.0,6
7.6,0.685,0.23,2.3,0.111,20.0,84.0,0.9964,,0.61,9.3,629.0,5
8.7,0.54,0.26,2.5,0.0969999999999999,,31.0,0.9976,3.27,,9.3,630.0,6
,0.28,0.54,2.7,0.105,5.0,19.0,0.9988,3.25,0.63,9.5,631.0,5
7.6,0.41,0.14,3.0,,21.0,43.0,,3.32,0.57,10.5,632.0,6
10.1,0.935,0.22,3.4,0.105,11.0,86.0,1.001,3.43,0.64,11.3,633.0,4
7.9,0.35,0.21,1.9,0.073,46.0,102.0,0.9964,3.27,0.58,9.5,634.0,5
8.7,0.84,0.0,1.4,0.065,,33.0,0.9954,3.27,0.55,9.7,635.0,5
9.6,0.88,0.28,,0.086,30.0,147.0,0.9979,3.24,0.53,9.4,636.0,5
9.5,0.885,0.27,2.3,,31.0,145.0,0.9978,3.24,0.53,9.4,637.0,5
8.9,0.29,0.35,1.9,,25.0,,0.997,,1.36,10.3,,6
9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,640.0,5
,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,642.0,5
9.9,0.54,0.45,2.3,0.071,,40.0,0.9991,3.39,0.62,9.4,644.0,5
8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,3.32,0.58,11.0,647.0,4
8.7,0.48,0.3,2.8,0.066,10.0,,0.9964,3.33,0.67,11.2,648.0,7
6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,649.0,6
10.7,0.43,,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,650.0,5
15.9,0.36,0.65,7.5,0.096,22.0,,0.9976,2.98,,,652.0,5
